Country,CapitalRegion
Brazil,Distrito Federal
Estonia,Tallinn
Australia,ACT
Eswatini,Inkhundla Mbabane
Bangladesh,Dhaka District
Syria,Damascus Governorate
Liberia,Greater Monrovia
Central African Republic,Bangî - Bangui
Ethiopia,Addis Ababa
Cameroon,Mfoundi
Tanzania,Dodoma
Malawi,Lilongwe
Uzbekistan,Tashkent
Honduras,Tegucigalpa
Portugal,Lisabon
Azerbaijan,Baku
Taiwan,Taipei
Comoros,Grande Comore
São Tomé and Príncipe,Água Grande
Singapore,Singapore
Antigua and Barbuda,Saint John
Kosovo,Pristina
Brunei,Bandar Seri Begawan
Tokelau,Tokelau
Norway,Oslo